ID	単語	品詞	意味	コロケーション	和文	英文	英文穴埋め	タグ
w0200-3	cola	名詞	コーラ	cola and ice	暑い日はコーラに氷を入れたものが好きだ。	I like <strong>cola and ice</strong> on a hot day.	"I like <span class=""blank"">_____ _____ _____</span> on a hot day."	品詞:名詞|単語:cola
w0201-1	cold	名詞	かぜ　〔have a cold の形で〕 かぜをひいている	have a cold	かぜをひいていて、今日はとてもつらい。	I <strong>have a cold</strong> and feel terrible today.	"I <span class=""blank"">_____ _____ _____</span> and feel terrible today."	品詞:名詞|単語:cold
w0201-2	cold	名詞	かぜ　〔have a cold の形で〕 かぜをひいている	catch a cold	彼女は先週かぜをひいた。	She <strong>caught a cold</strong> last week.	"She <span class=""blank"">_____ _____ _____</span> last week."	品詞:名詞|単語:cold
w0201-3	cold	名詞	かぜ　〔have a cold の形で〕 かぜをひいている	bad cold	兄はひどいかぜで家にいる。	My brother has a <strong>bad cold</strong> and is staying home.	"My brother has a <span class=""blank"">_____ _____</span> and is staying home."	品詞:名詞|単語:cold
w0202-1	college	名詞	大学	go to college	姉は東京の大学に進みたいと思っている。	My sister wants to <strong>go to college</strong> in Tokyo.	"My sister wants to <span class=""blank"">_____ _____ _____</span> in Tokyo."	品詞:名詞|単語:college
w0202-2	college	名詞	大学	college student	彼は今春、大学生になった。	He became a <strong>college student</strong> this spring.	"He became a <span class=""blank"">_____ _____</span> this spring."	品詞:名詞|単語:college
w0202-3	college	名詞	大学	finish college	彼女は大学を卒業し、去年から働き始めた。	She <strong>finished college</strong> and started working last year.	"She <span class=""blank"">_____ _____</span> and started working last year."	品詞:名詞|単語:college
w0203-1	color	名詞	色、肌の色	favorite color	あなたの好きな色は何ですか？	What is your <strong>favorite color</strong>?	"What is your <span class=""blank"">_____ _____</span>?"	品詞:名詞|単語:color
w0203-2	color	名詞	色、肌の色	bright color	彼女はいつも明るい色の服を着ている。	She always wears <strong>bright color</strong>s.	"She always wears <span class=""blank"">_____ _____</span>s."	品詞:名詞|単語:color
w0203-3	color	名詞	色、肌の色	color of	夕暮れ時、空の色が変わる。	The <strong>color of</strong> the sky changes at sunset.	"The <span class=""blank"">_____ _____</span> the sky changes at sunset."	品詞:名詞|単語:color
w0204-1	comic	名詞	マンガ	read comics	週末にマンガを読むのが大好きだ。	I love to <strong>read comics</strong> on weekends.	"I love to <span class=""blank"">_____ _____</span> on weekends."	品詞:名詞|単語:comic
w0204-2	comic	名詞	マンガ	comic book	彼は店で新しいマンガ本を買った。	He bought a new <strong>comic book</strong> at the store.	"He bought a new <span class=""blank"">_____ _____</span> at the store."	品詞:名詞|単語:comic
w0204-3	comic	名詞	マンガ	comic character	私のお気に入りのマンガキャラクターはとてもおもしろい。	My favorite <strong>comic character</strong> is very funny.	"My favorite <span class=""blank"">_____ _____</span> is very funny."	品詞:名詞|単語:comic
w0205-1	comment	名詞	コメント	leave a comment	私の動画にコメントを残してください。	Please <strong>leave a comment</strong> on my video.	"Please <span class=""blank"">_____ _____ _____</span> on my video."	品詞:名詞|単語:comment
w0205-2	comment	名詞	コメント	make a comment	先生は私の作文に参考になるコメントをくれた。	The teacher made a helpful <strong>comment</strong> on my essay.	"The teacher made a helpful <span class=""blank"">_____</span> on my essay."	品詞:名詞|単語:comment
w0205-3	comment	名詞	コメント	positive comment	友達からたくさんの前向きなコメントをもらった。	I received many <strong>positive comment</strong>s from my friends.	"I received many <span class=""blank"">_____ _____</span>s from my friends."	品詞:名詞|単語:comment
w0206-1	communication	名詞	コミュニケーション、意思伝達、情報の伝達	communication skills	仕事ではコミュニケーション能力が大切だ。	Good <strong>communication skills</strong> are important at work.	"Good <span class=""blank"">_____ _____</span> are important at work."	品詞:名詞|単語:communication
w0206-2	communication	名詞	コミュニケーション、意思伝達、情報の伝達	communication with	家族とのコミュニケーションはとても大切だ。	<strong>Communication with</strong> your family is very important.	"<span class=""blank"">_____ _____</span> your family is very important."	品詞:名詞|単語:communication
w0206-3	communication	名詞	コミュニケーション、意思伝達、情報の伝達	improve communication	英語を学ぶことでコミュニケーション力が高まる。	Learning English helps us <strong>improve communication</strong>.	"Learning English helps us <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:communication
w0207-1	community	名詞	地域社会	local community	毎月、地域社会の清掃活動をしている。	We help clean up our <strong>local community</strong> every month.	"We help clean up our <span class=""blank"">_____ _____</span> every month."	品詞:名詞|単語:community
w0207-2	community	名詞	地域社会	community center	そのイベントは地域センターで開かれた。	The event was held at the <strong>community center</strong>.	"The event was held at the <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:community
w0207-3	community	名詞	地域社会	community members	地域の人たちが協力して公園を作った。	<strong>Community members</strong> worked together to build the park.	"<span class=""blank"">_____ _____</span> worked together to build the park."	品詞:名詞|単語:community
w0208-1	company	名詞	会社	work for a company	父は大阪の大きな会社に勤めている。	My father works for a big <strong>company</strong> in Osaka.	"My father works for a big <span class=""blank"">_____</span> in Osaka."	品詞:名詞|単語:company
w0208-2	company	名詞	会社	start a company	彼女はいつか自分の会社を起業したいと思っている。	She wants to start her own <strong>company</strong> someday.	"She wants to start her own <span class=""blank"">_____</span> someday."	品詞:名詞|単語:company
w0208-3	company	名詞	会社	join a company	彼は卒業してすぐにその会社に入った。	He joined the <strong>company</strong> right after graduating.	"He joined the <span class=""blank"">_____</span> right after graduating."	品詞:名詞|単語:company
w0209-1	compartment	名詞	もの入れ	storage compartment	頭上の収納スペースにバッグを入れてください。	Put your bag in the <strong>storage compartment</strong> above.	"Put your bag in the <span class=""blank"">_____ _____</span> above."	品詞:名詞|単語:compartment
w0209-2	compartment	名詞	もの入れ	compartment of	机にペン用の小さなもの入れがある。	There is a small <strong>compartment of</strong> the desk for pens.	"There is a small <span class=""blank"">_____ _____</span> the desk for pens."	品詞:名詞|単語:compartment
w0209-3	compartment	名詞	もの入れ	separate compartment	私のバッグにはタブレット用の仕切りがある。	My bag has a <strong>separate compartment</strong> for my tablet.	"My bag has a <span class=""blank"">_____ _____</span> for my tablet."	品詞:名詞|単語:compartment
w0210-1	computer	名詞	コンピュータ	use a computer	毎日コンピュータを使って宿題をしている。	I <strong>use a computer</strong> to do my homework every day.	"I <span class=""blank"">_____ _____ _____</span> to do my homework every day."	品詞:名詞|単語:computer
w0210-2	computer	名詞	コンピュータ	computer science	彼女はコンピュータサイエンスに興味がある。	She is interested in <strong>computer science</strong>.	"She is interested in <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:computer
w0210-3	computer	名詞	コンピュータ	turn on the computer	授業が始まる前にコンピュータを起動してください。	Please <strong>turn on the computer</strong> before class starts.	"Please <span class=""blank"">_____ _____ _____ _____</span> before class starts."	品詞:名詞|単語:computer
w0211-1	concert	名詞	コンサート、演奏会、音楽会	go to a concert	先週の土曜日にコンサートに行った。	We <strong>went to a concert</strong> last Saturday.	"We <span class=""blank"">_____ _____ _____ _____</span> last Saturday."	品詞:名詞|単語:concert
w0211-2	concert	名詞	コンサート、演奏会、音楽会	concert hall	コンサートホールは人でいっぱいだった。	The <strong>concert hall</strong> was full of people.	"The <span class=""blank"">_____ _____</span> was full of people."	品詞:名詞|単語:concert
w0211-3	concert	名詞	コンサート、演奏会、音楽会	live concert	初めてオンラインでライブコンサートを見た。	I watched a <strong>live concert</strong> online for the first time.	"I watched a <span class=""blank"">_____ _____</span> online for the first time."	品詞:名詞|単語:concert
w0212-1	conclusion	名詞	結論	come to a conclusion	長い話し合いの末、ようやく結論が出た。	We finally <strong>came to a conclusion</strong> after a long talk.	"We finally <span class=""blank"">_____ _____ _____ _____</span> after a long talk."	品詞:名詞|単語:conclusion
w0212-2	conclusion	名詞	結論	draw a conclusion	まだ結論を出すのは早すぎる。	It is too early to <strong>draw a conclusion</strong>.	"It is too early to <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:conclusion
w0212-3	conclusion	名詞	結論	in conclusion	結論として、私たちは環境を守るべきだ。	<strong>In conclusion</strong>, we should protect our environment.	"<span class=""blank"">_____ _____</span>, we should protect our environment."	品詞:名詞|単語:conclusion
w0213-1	condition	名詞	状態、容態、環境、状況	in good condition	その古い自転車はまだ状態がいい。	The old bicycle is still <strong>in good condition</strong>.	"The old bicycle is still <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:condition
w0213-2	condition	名詞	状態、容態、環境、状況	weather conditions	悪天候のため旅行をキャンセルした。	We canceled the trip because of bad <strong>weather conditions</strong>.	"We canceled the trip because of bad <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:condition
w0213-3	condition	名詞	状態、容態、環境、状況	living conditions	都市での生活環境が改善された。	<strong>Living conditions</strong> in the city have improved.	"<span class=""blank"">_____ _____</span> in the city have improved."	品詞:名詞|単語:condition
w0214-1	conditioner	名詞	ヘアコンディショナー、リンス	use conditioner	シャンプーの後は必ずコンディショナーを使う。	I always <strong>use conditioner</strong> after shampooing my hair.	"I always <span class=""blank"">_____ _____</span> after shampooing my hair."	品詞:名詞|単語:conditioner
w0214-2	conditioner	名詞	ヘアコンディショナー、リンス	hair conditioner	このヘアコンディショナーを使うと髪がとてもなめらかになる。	This <strong>hair conditioner</strong> makes my hair very smooth.	"This <span class=""blank"">_____ _____</span> makes my hair very smooth."	品詞:名詞|単語:conditioner
w0214-3	conditioner	名詞	ヘアコンディショナー、リンス	apply conditioner	コンディショナーをつけて2分間おいてください。	<strong>Apply conditioner</strong> and leave it for two minutes.	"<span class=""blank"">_____ _____</span> and leave it for two minutes."	品詞:名詞|単語:conditioner
w0215-1	conditioner	名詞	冷暖房装置　〔air conditioner で〕エアコン	air conditioner	エアコンをつけてください。暑すぎます。	Please turn on the <strong>air conditioner</strong>. It&#x27;s too hot.	"Please turn on the <span class=""blank"">_____ _____</span>. It&#x27;s too hot."	品詞:名詞|単語:conditioner
w0215-2	conditioner	名詞	冷暖房装置　〔air conditioner で〕エアコン	air conditioner on	母は一日中エアコンをつけたままにしている。	My mother keeps the <strong>air conditioner on</strong> all day.	"My mother keeps the <span class=""blank"">_____ _____ _____</span> all day."	品詞:名詞|単語:conditioner
w0215-3	conditioner	名詞	冷暖房装置　〔air conditioner で〕エアコン	fix the air conditioner	エアコンを直してもらうために業者を呼んだ。	We called someone to <strong>fix the air conditioner</strong>.	"We called someone to <span class=""blank"">_____ _____ _____ _____</span>."	品詞:名詞|単語:conditioner
w0216-1	condominium	名詞	分譲マンション	live in a condominium	私の家族は駅の近くのマンションに住んでいる。	My family <strong>lives in a condominium</strong> near the station.	"My family <span class=""blank"">_____ _____ _____ _____</span> near the station."	品詞:名詞|単語:condominium
w0216-2	condominium	名詞	分譲マンション	buy a condominium	両親はマンションを購入しようと計画している。	My parents are planning to <strong>buy a condominium</strong>.	"My parents are planning to <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:condominium
w0216-3	condominium	名詞	分譲マンション	new condominium	近所に新しいマンションが建った。	A <strong>new condominium</strong> was built in our neighborhood.	"A <span class=""blank"">_____ _____</span> was built in our neighborhood."	品詞:名詞|単語:condominium
w0217-1	conference	名詞	会議、会談、協議	hold a conference	来月、京都で会議が開かれる予定だ。	They will <strong>hold a conference</strong> in Kyoto next month.	"They will <span class=""blank"">_____ _____ _____</span> in Kyoto next month."	品詞:名詞|単語:conference
w0217-2	conference	名詞	会議、会談、協議	attend a conference	先生は国際会議に出席した。	My teacher attended an international <strong>conference</strong>.	"My teacher attended an international <span class=""blank"">_____</span>."	品詞:名詞|単語:conference
w0217-3	conference	名詞	会議、会談、協議	online conference	オーストラリアの生徒たちとオンライン会議をした。	We had an <strong>online conference</strong> with students in Australia.	"We had an <span class=""blank"">_____ _____</span> with students in Australia."	品詞:名詞|単語:conference
w0218-1	connection	名詞	接続（すること）、つながり、関係	internet connection	今日はインターネットの接続がとても遅い。	My <strong>internet connection</strong> is very slow today.	"My <span class=""blank"">_____ _____</span> is very slow today."	品詞:名詞|単語:connection
w0218-2	connection	名詞	接続（すること）、つながり、関係	connection between	音楽と記憶には深いつながりがある。	There is a strong <strong>connection between</strong> music and memory.	"There is a strong <span class=""blank"">_____ _____</span> music and memory."	品詞:名詞|単語:connection
w0218-3	connection	名詞	接続（すること）、つながり、関係	make a connection	留学することで人とのつながりができた。	Studying abroad helped me make <strong>connections</strong> with people.	"Studying abroad helped me make <span class=""blank"">_____</span> with people."	品詞:名詞|単語:connection
w0219-1	content	名詞	内容、中身	content of	スピーチの内容が理解できなかった。	I didn&#x27;t understand the <strong>content of</strong> the speech.	"I didn&#x27;t understand the <span class=""blank"">_____ _____</span> the speech."	品詞:名詞|単語:content
w0219-2	content	名詞	内容、中身	online content	学習者向けの役立つオンラインコンテンツがたくさんある。	There is a lot of useful <strong>online content</strong> for learners.	"There is a lot of useful <span class=""blank"">_____ _____</span> for learners."	品詞:名詞|単語:content
w0219-3	content	名詞	内容、中身	create content	彼女は毎週YouTubeチャンネル用のコンテンツを作っている。	She <strong>creates content</strong> for her YouTube channel every week.	"She <span class=""blank"">_____ _____</span> for her YouTube channel every week."	品詞:名詞|単語:content
w0220-1	contest	名詞	コンテスト、コンクール	enter a contest	今年はスピーチコンテストに出てみたい。	I want to enter a speech <strong>contest</strong> this year.	"I want to enter a speech <span class=""blank"">_____</span> this year."	品詞:名詞|単語:contest
w0220-2	contest	名詞	コンテスト、コンクール	win a contest	彼女は学校の美術コンテストで優勝した。	She won the art <strong>contest</strong> at her school.	"She won the art <span class=""blank"">_____</span> at her school."	品詞:名詞|単語:contest
w0220-3	contest	名詞	コンテスト、コンクール	hold a contest	私たちの市では毎年夏に歌のコンテストが開かれる。	Our city holds a singing <strong>contest</strong> every summer.	"Our city holds a singing <span class=""blank"">_____</span> every summer."	品詞:名詞|単語:contest
w0221-1	control	名詞	制御　〔out of controlで〕制御しきれなくなって	out of control	その車は凍った道路で制御不能になった。	The car went <strong>out of control</strong> on the icy road.	"The car went <span class=""blank"">_____ _____ _____</span> on the icy road."	品詞:名詞|単語:control
w0221-2	control	名詞	制御　〔out of controlで〕制御しきれなくなって	take control	彼女はその状況を掌握しようとした。	She tried to <strong>take control</strong> of the situation.	"She tried to <span class=""blank"">_____ _____</span> of the situation."	品詞:名詞|単語:control
w0221-3	control	名詞	制御　〔out of controlで〕制御しきれなくなって	under control	先生はクラスをうまくまとめた。	The teacher kept the class <strong>under control</strong>.	"The teacher kept the class <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:control
w0222-1	convenience	名詞	便利なこと（もの）	offers great convenience	ネットショッピングはとても便利だ。	Online shopping <strong>offers great convenience</strong>.	"Online shopping <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:convenience
w0222-2	convenience	名詞	便利なこと（もの）	for its convenience	そのホテルは便利さで選ばれた。	The hotel was chosen <strong>for its convenience</strong>.	"The hotel was chosen <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:convenience
w0222-3	convenience	名詞	便利なこと（もの）	full of convenience	現代の生活は便利なものにあふれている。	Modern life is <strong>full of convenience</strong>.	"Modern life is <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:convenience
w0223-1	convenience store	名詞	コンビニエンスストア、コンビニ	stopped by a convenience store	飲み物を買うためにコンビニに立ち寄った。	I stopped by a convenience <strong>store</strong> to buy a drink.	"I stopped by a convenience <span class=""blank"">_____</span> to buy a drink."	品詞:名詞|単語:convenience store
w0223-2	convenience store	名詞	コンビニエンスストア、コンビニ	convenience store near my house	家の近くのコンビニは24時間営業だ。	The convenience <strong>store</strong> near my house is open 24 hours.	"The convenience <span class=""blank"">_____</span> near my house is open 24 hours."	品詞:名詞|単語:convenience store
w0223-3	convenience store	名詞	コンビニエンスストア、コンビニ	at a convenience store	コンビニで料金の支払いができる。	You can pay your bills <strong>at a convenience store</strong>.	"You can pay your bills <span class=""blank"">_____ _____ _____ _____</span>."	品詞:名詞|単語:convenience store
w0224-1	cook	名詞	料理をする人	a great cook	父はとても料理が上手だ。	My father is <strong>a great cook</strong>.	"My father is <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:cook
w0224-2	cook	名詞	料理をする人	worked as a cook	彼女はレストランで料理人として働いた。	She <strong>worked as a cook</strong> at a restaurant.	"She <span class=""blank"">_____ _____ _____ _____</span> at a restaurant."	品詞:名詞|単語:cook
w0224-3	cook	名詞	料理をする人	a professional cook	彼は学校を卒業後、プロの料理人になった。	He became <strong>a professional cook</strong> after school.	"He became <span class=""blank"">_____ _____ _____</span> after school."	品詞:名詞|単語:cook
w0225-1	cooking	名詞	料理	enjoy cooking	私は和食を作るのが楽しい。	I <strong>enjoy cooking</strong> Japanese food.	"I <span class=""blank"">_____ _____</span> Japanese food."	品詞:名詞|単語:cooking
w0225-2	cooking	名詞	料理	cooking class	彼女は毎週土曜日に料理教室に通っている。	She takes a <strong>cooking class</strong> every Saturday.	"She takes a <span class=""blank"">_____ _____</span> every Saturday."	品詞:名詞|単語:cooking
w0225-3	cooking	名詞	料理	cooking skills	彼の料理の腕はずいぶん上がった。	His <strong>cooking skills</strong> have improved a lot.	"His <span class=""blank"">_____ _____</span> have improved a lot."	品詞:名詞|単語:cooking
w0226-1	corner	名詞	（道路の）曲がり角	Turn left at the corner	角を左に曲がると学校が見えるよ。	Turn left at the <strong>corner</strong> and you&#x27;ll see the school.	"Turn left at the <span class=""blank"">_____</span> and you&#x27;ll see the school."	品詞:名詞|単語:corner
w0226-2	corner	名詞	（道路の）曲がり角	around the corner	すぐそこの曲がり角にパン屋がある。	There is a bakery just <strong>around the corner</strong>.	"There is a bakery just <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:corner
w0226-3	corner	名詞	（道路の）曲がり角	on the corner	彼は通りの角で待っていた。	He was waiting <strong>on the corner</strong> of the street.	"He was waiting <span class=""blank"">_____ _____ _____</span> of the street."	品詞:名詞|単語:corner
w0227-1	costume	名詞	服装、衣装、コスチューム	traditional costume	彼女はお祭りで伝統的な衣装を身に着けた。	She wore a <strong>traditional costume</strong> at the festival.	"She wore a <span class=""blank"">_____ _____</span> at the festival."	品詞:名詞|単語:costume
w0227-2	costume	名詞	服装、衣装、コスチューム	Halloween costume	彼はハロウィンの衣装を着て外に出た。	He put on a <strong>Halloween costume</strong> and went out.	"He put on a <span class=""blank"">_____ _____</span> and went out."	品詞:名詞|単語:costume
w0227-3	costume	名詞	服装、衣装、コスチューム	wore colorful costumes	俳優たちはステージでカラフルな衣装をまとった。	The actors <strong>wore colorful costumes</strong> on stage.	"The actors <span class=""blank"">_____ _____ _____</span> on stage."	品詞:名詞|単語:costume
w0228-1	cotton	名詞	綿	made of cotton	このシャツは綿でできている。	This shirt is <strong>made of cotton</strong>.	"This shirt is <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:cotton
w0228-2	cotton	名詞	綿	Cotton socks	綿の靴下は夏に快適だ。	<strong>Cotton socks</strong> are comfortable in summer.	"<span class=""blank"">_____ _____</span> are comfortable in summer."	品詞:名詞|単語:cotton
w0228-3	cotton	名詞	綿	pure cotton	彼女は純綿の服が好きだ。	She likes clothes made from <strong>pure cotton</strong>.	"She likes clothes made from <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:cotton
w0229-1	cough	名詞	せき	have a bad cough	ひどいせきとのどの痛みがある。	I <strong>have a bad cough</strong> and a sore throat.	"I <span class=""blank"">_____ _____ _____ _____</span> and a sore throat."	品詞:名詞|単語:cough
w0229-2	cough	名詞	せき	let out a cough	彼女は静かなテスト中にせきをした。	She <strong>let out a cough</strong> during the quiet test.	"She <span class=""blank"">_____ _____ _____ _____</span> during the quiet test."	品詞:名詞|単語:cough
w0229-3	cough	名詞	せき	cough got worse	寒い天気でせきがひどくなった。	His <strong>cough got worse</strong> in the cold weather.	"His <span class=""blank"">_____ _____ _____</span> in the cold weather."	品詞:名詞|単語:cough
w0230-1	country	名詞	国	a country with a long history	日本は長い歴史を持つ国だ。	Japan is a <strong>country</strong> with a long history.	"Japan is a <span class=""blank"">_____</span> with a long history."	品詞:名詞|単語:country
w0230-2	country	名詞	国	foreign country	彼女はいつか外国を旅したいと思っている。	She wants to travel to a <strong>foreign country</strong> someday.	"She wants to travel to a <span class=""blank"">_____ _____</span> someday."	品詞:名詞|単語:country
w0230-3	country	名詞	国	home country	世界中の人々が自分の祖国を愛している。	People around the world love their <strong>home country</strong>.	"People around the world love their <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:country
w0231-1	courage	名詞	勇気	takes courage	みんなの前で話すには勇気がいる。	It <strong>takes courage</strong> to speak in front of everyone.	"It <span class=""blank"">_____ _____</span> to speak in front of everyone."	品詞:名詞|単語:courage
w0231-2	courage	名詞	勇気	showed great courage	彼は災害の中で大きな勇気を見せた。	He <strong>showed great courage</strong> during the disaster.	"He <span class=""blank"">_____ _____ _____</span> during the disaster."	品詞:名詞|単語:courage
w0231-3	courage	名詞	勇気	found the courage	彼女は新しいことに挑戦する勇気を見つけた。	She <strong>found the courage</strong> to try something new.	"She <span class=""blank"">_____ _____ _____</span> to try something new."	品詞:名詞|単語:courage
w0232-1	course	名詞	1. 〔Of course.の形で〕 もちろん / 2. 方向、進路 / 3. 講座、コース	Of course	もちろん、宿題を手伝うよ。	<strong>Of course</strong>, I will help you with your homework.	"<span class=""blank"">_____ _____</span>, I will help you with your homework."	品詞:名詞|単語:course
w0232-2	course	名詞	1. 〔Of course.の形で〕 もちろん / 2. 方向、進路 / 3. 講座、コース	Of course you can	「ペンを借りてもいい？」「もちろんどうぞ。」	&quot;Can I borrow your pen?&quot; &quot;<strong>Of course you can</strong>.&quot;	"&quot;Can I borrow your pen?&quot; &quot;<span class=""blank"">_____ _____ _____ _____</span>.&quot;"	品詞:名詞|単語:course
w0232-3	course	名詞	1. 〔Of course.の形で〕 もちろん / 2. 方向、進路 / 3. 講座、コース	Of course, she was happy	もちろん、彼女はその知らせを聞いて喜んだ。	Of <strong>course</strong>, she was happy to hear the news.	"Of <span class=""blank"">_____</span>, she was happy to hear the news."	品詞:名詞|単語:course
w0233-1	court	名詞	（テニスなどの）コート	clay court	彼らはクレーコートでテニスをした。	They played tennis on the <strong>clay court</strong>.	"They played tennis on the <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:court
w0233-2	court	名詞	（テニスなどの）コート	basketball court	雨の後、バスケットボールのコートが濡れていた。	The <strong>basketball court</strong> was wet after the rain.	"The <span class=""blank"">_____ _____</span> was wet after the rain."	品詞:名詞|単語:court
w0233-3	court	名詞	（テニスなどの）コート	reserved a tennis court	彼女は土曜日のためにテニスコートを予約した。	She <strong>reserved a tennis court</strong> for Saturday.	"She <span class=""blank"">_____ _____ _____ _____</span> for Saturday."	品詞:名詞|単語:court
w0234-1	cousin	名詞	いとこ	My cousin	私のいとこは大阪に住んでいる。	<strong>My cousin</strong> lives in Osaka.	"<span class=""blank"">_____ _____</span> lives in Osaka."	品詞:名詞|単語:cousin
w0234-2	cousin	名詞	いとこ	met my cousins	祖母の家でいとこたちに会った。	I <strong>met my cousins</strong> at my grandmother&#x27;s house.	"I <span class=""blank"">_____ _____ _____</span> at my grandmother&#x27;s house."	品詞:名詞|単語:cousin
w0234-3	cousin	名詞	いとこ	favorite cousin	彼女は私が一番好きないとこだ。	She is my <strong>favorite cousin</strong>.	"She is my <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:cousin
w0235-1	cow	名詞	牛（雌牛、乳牛）	milked the cow	農家の人は毎朝牛の乳を搾った。	The farmer <strong>milked the cow</strong> every morning.	"The farmer <span class=""blank"">_____ _____ _____</span> every morning."	品詞:名詞|単語:cow
w0235-2	cow	名詞	牛（雌牛、乳牛）	dairy cow	乳牛はたくさんのミルクを産む。	A <strong>dairy cow</strong> produces a lot of milk.	"A <span class=""blank"">_____ _____</span> produces a lot of milk."	品詞:名詞|単語:cow
w0235-3	cow	名詞	牛（雌牛、乳牛）	cows in the field	野原に何頭かの牛がいた。	There were several <strong>cows in the field</strong>.	"There were several <span class=""blank"">_____ _____ _____ _____</span>."	品詞:名詞|単語:cow
w0236-1	cracker	名詞	（菓子の）クラッカー	cheese on a cracker	彼女はクラッカーにチーズを乗せて食べた。	She put <strong>cheese on a cracker</strong> and ate it.	"She put <span class=""blank"">_____ _____ _____ _____</span> and ate it."	品詞:名詞|単語:cracker
w0236-2	cracker	名詞	（菓子の）クラッカー	snacked on crackers	彼はテレビを見ながらクラッカーをつまんだ。	He <strong>snacked on crackers</strong> while watching TV.	"He <span class=""blank"">_____ _____ _____</span> while watching TV."	品詞:名詞|単語:cracker
w0236-3	cracker	名詞	（菓子の）クラッカー	box of crackers	クラッカーの箱はほぼからだった。	The <strong>box of crackers</strong> was almost empty.	"The <span class=""blank"">_____ _____ _____</span> was almost empty."	品詞:名詞|単語:cracker
w0237-1	craftsperson	名詞	職人	skilled craftsperson	腕のいい職人がこの木製の椅子を作った。	A <strong>skilled craftsperson</strong> made this wooden chair.	"A <span class=""blank"">_____ _____</span> made this wooden chair."	品詞:名詞|単語:craftsperson
w0237-2	craftsperson	名詞	職人	became a craftsperson	彼女は長年の修行を経て職人になった。	She <strong>became a craftsperson</strong> after years of training.	"She <span class=""blank"">_____ _____ _____</span> after years of training."	品詞:名詞|単語:craftsperson
w0237-3	craftsperson	名詞	職人	The craftsperson uses traditional tools	その職人は伝統的な道具を使って仕事をする。	The <strong>craftsperson</strong> uses traditional tools to work.	"The <span class=""blank"">_____</span> uses traditional tools to work."	品詞:名詞|単語:craftsperson
w0238-1	crane	名詞	ツル	paper crane	彼女は友達のために折り鶴を折った。	She folded a <strong>paper crane</strong> for her friend.	"She folded a <span class=""blank"">_____ _____</span> for her friend."	品詞:名詞|単語:crane
w0238-2	crane	名詞	ツル	crane flew over	朝、川の上をツルが飛んでいった。	A <strong>crane flew over</strong> the river in the morning.	"A <span class=""blank"">_____ _____ _____</span> the river in the morning."	品詞:名詞|単語:crane
w0238-3	crane	名詞	ツル	symbol of long life	ツルは日本では長寿のシンボルだ。	The crane is a <strong>symbol of long life</strong> in Japan.	"The crane is a <span class=""blank"">_____ _____ _____ _____</span> in Japan."	品詞:名詞|単語:crane
w0239-1	creativity	名詞	創造性[力]、独創[力]	develop creativity	美術の授業は生徒の創造力を伸ばす。	Art classes help students <strong>develop creativity</strong>.	"Art classes help students <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:creativity
w0239-2	creativity	名詞	創造性[力]、独創[力]	Her creativity is shown	彼女の創造力は描く絵のすべてに表れている。	<strong>Her creativity is shown</strong> in every drawing she makes.	"<span class=""blank"">_____ _____ _____ _____</span> in every drawing she makes."	品詞:名詞|単語:creativity
w0239-3	creativity	名詞	創造性[力]、独創[力]	encouraged creativity	先生は生徒たちの創造性を引き出した。	The teacher <strong>encouraged creativity</strong> in her students.	"The teacher <span class=""blank"">_____ _____</span> in her students."	品詞:名詞|単語:creativity
w0240-1	culture	名詞	文化、土壌、習慣、風習、知的産物	Japanese culture	私は日本文化に興味がある。	I am interested in <strong>Japanese culture</strong>.	"I am interested in <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:culture
w0240-2	culture	名詞	文化、土壌、習慣、風習、知的産物	different cultures	さまざまな文化について学ぶことは大切だ。	It is important to learn about <strong>different cultures</strong>.	"It is important to learn about <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:culture
w0240-3	culture	名詞	文化、土壌、習慣、風習、知的産物	part of our culture	音楽と芸術は私たちの文化の一部だ。	Music and art are <strong>part of our culture</strong>.	"Music and art are <span class=""blank"">_____ _____ _____ _____</span>."	品詞:名詞|単語:culture
w0241-1	cup	名詞	（紅茶・コーヒー用などの）カップ、茶わん、賞杯	a cup of tea	彼女は毎朝カップ一杯の紅茶を飲みます。	She drinks <strong>a cup of tea</strong> every morning.	"She drinks <span class=""blank"">_____ _____ _____ _____</span> every morning."	品詞:名詞|単語:cup
