ID	日本語文	指定動詞／表現	パーツ	正答
owe_3	私は彼に命の恩人だと思っている。	owe	life	I owe him my life.
borrow（無料・持っていく）				
borrow_1	図書館から本を借りてもいいですか。	borrow	book / library	May I borrow a book from the library?
borrow_2	彼女は友人からドレスを借りた。	borrow	dress / friend	She borrowed a dress from her friend.
borrow_3	少しの間、あなたの辞書を借りてもいいですか。	borrow	dictionary / moment	May I borrow your dictionary for a moment?
hire（有料・人・車・衣装）				
hire_1	私たちは旅行のために車を借りた。	hire	car / trip	We hired a car for the trip.
hire_2	彼女は会議のために通訳を雇った。	hire	translator / meeting	She hired a translator for the meeting.
hire_3	その会社はイベントのために追加のスタッフを雇った。	hire	company / extra staff / event	The company hired extra staff for the event.
use（その場で使う）				
use_1	トイレをお借りしてもいいですか。	use	bathroom	May I use your bathroom?
use_2	電話をお借りしてもいいですか。	use	phone	Could I use your phone?
use_3	このコンピューターを使ってもいいですか。	use	computer	May I use this computer?
rent 人 物／rent 物 from 人				
rent_1	私たちは週末のためにコテージを借りた。	rent	cottage / weekend	We rented a cottage for the weekend.
rent_2	彼は大家からアパートを借りている。	rent	apartment / landlord	He rents an apartment from his landlord.
rent_3	彼女は学生にその部屋を貸している。	rent	room / student	She rents the room to a student.
UNIT 6　その他の語法				
人 hit on[upon]／come up with 考え				
hit_on_1	彼はシャワーを浴びているときにアイデアを思いついた。	hit on	idea / shower	He hit on an idea while taking a shower.
hit_on_2	科学者はその問題の解決策を偶然思いついた。	hit on	scientist / solution / problem	The scientist hit on a solution to the problem.
hit_on_3	彼女は散歩中に新しい計画を思いついた。	hit on	new plan / walk	She hit upon a new plan during her walk.
come_up_1	あなたはその問題の解決策を思いつきましたか。	come up with	solution / problem	Did you come up with a solution to the problem?
come_up_2	チームはユニークなアイデアを思いついた。	come up with	team / unique idea	The team came up with a unique idea.
come_up_3	彼女は新しいマーケティング戦略を考え出した。	come up with	new marketing strategy	She came up with a new marketing strategy.
考え occur to 人／考え strike 人				
occur_1	突然、彼女に良いアイデアが浮かんだ。	occur	good idea / suddenly	A good idea suddenly occurred to her.
occur_2	それが嘘かもしれないという考えが私の心に浮かんだ。	occur	idea / lie	It occurred to me that it might be a lie.
occur_3	その解決策が彼に浮かんだのは真夜中だった。	occur	solution / midnight	The solution occurred to him at midnight.
strike_1	突然、彼に良いアイデアが浮かんだ。	strike	good idea / suddenly	A good idea suddenly struck him.
strike_2	その発言がおかしいと気づいた。	strike	remark / strange	It struck me that the remark was strange.
strike_3	彼女に問題を別の角度から考えるというアイデアが浮かんだ。	strike	idea / different angle	The idea of looking at the problem from a different angle struck her.
出来事 happen to 人				
happen_to_1	彼に何かひどいことが起きたに違いない。	happen	something terrible	Something terrible must have happened to him.
happen_to_2	彼女に何が起きたのか誰も知らなかった。	happen	what	Nobody knew what had happened to her.
happen_to_3	その事故が彼に起きたのは不運だった。	happen	accident / unlucky	It was unlucky that the accident happened to him.
happen to V／It happens that ～				
happen_v_1	たまたま彼女が駅で彼に会った。	happen	meet / station	She happened to meet him at the station.
happen_v_2	たまたま私はその日休みを取っていた。	happen	day off	I happened to have the day off that day.
happen_v_3	たまたま彼はその場に居合わせていた。	happen	present / scene	It happened that he was present at the scene.
物 suit 人／物 become 人				
suit_1	その赤いドレスはあなたによく似合う。	suit	red dress	The red dress suits you well.
suit_2	その仕事は彼の性格に合っている。	suit	job / personality	The job suits his personality.
suit_3	その色は彼女にとてもよく似合っている。	become	color	The color becomes her very well.
物 match 物／物 go with 物				
match_1	そのネクタイはスーツに合っている。	match	tie / suit	The tie matches the suit.
match_2	その靴はバッグに合っていない。	match	shoes / bag	The shoes don't match the bag.
go_with_1	その赤いワインはステーキによく合う。	go with	red wine / steak	Red wine goes well with steak.
allow 人 to ～／permit 人 to ～				
allow_1	父は私に車を使うことを許可した。	allow	father / use / car	My father allowed me to use his car.
allow_2	その規則は学生が携帯電話を使うことを禁じている。	allow	rule / students / use / phones	The rule does not allow students to use their phones.
allow_3	その法律は18歳未満の飲酒を禁じている。	allow	law / under 18 / drink	The law does not allow people under 18 to drink.
permit_1	この公園では犬を連れ込むことが許可されている。	permit	park / dogs	This park permits dogs to enter.
permit_2	その施設は来館者が写真を撮ることを許可していない。	permit	facility / visitors / take photographs	The facility does not permit visitors to take photographs.
permit_3	天候が許せば試合は予定通り行われる。	permit	weather / match / scheduled	If the weather permits, the match will be held as scheduled.
forgive 人 for ～／excuse 人 for ～				
forgive_1	彼女は彼の過ちを許した。	forgive	mistake	She forgave him for his mistake.
forgive_2	彼は遅刻したことを許してもらえなかった。	forgive	being late	He was not forgiven for being late.
forgive_3	彼女は彼の無礼な態度を許した。	forgive	rude behavior	She forgave him for his rude behavior.
excuse_1	彼は遅刻したことを許してもらった。	excuse	being late	He was excused for being late.
excuse_2	彼女は自分の無知を許されるものではない。	excuse	ignorance	She cannot be excused for her ignorance.
excuse_3	遅刻したことをお許しください。	excuse	being late	Please excuse me for being late.
suspect that ～				
suspect_1	警察は彼が犯人だと疑っていた。	suspect	police / guilty	The police suspected that he was guilty.
suspect_2	私は彼女が本当のことを言っていないと疑っていた。	suspect	telling / truth	I suspected that she was not telling the truth.
suspect_3	彼らはその情報が正確でないと疑っていた。	suspect	information / accurate	They suspected that the information was not accurate.
doubt that ～				
doubt_1	彼が時間通りに来るとは思えない。	doubt	arrive / time	I doubt that he will arrive on time.
doubt_2	彼女はその計画が成功するとは思っていなかった。	doubt	plan / succeed	She doubted that the plan would succeed.
doubt_3	私は彼の言っていることが本当だとは思えない。	doubt	saying / true	I doubt that what he is saying is true.
