ID	日本語文	指定動詞	パーツ	正答	タグ
urge_1	彼は私に決断を急ぐよう促した。	urge	decision / quickly	He urged me to make a decision quickly.	SVO_to_do|v:urge|文型:SVO+to_do|前置詞:to
urge_2	彼女は政府に対策を取るよう求めた。	urge	government / action	She urged the government to take action.	SVO_to_do|v:urge|文型:SVO+to_do|前置詞:to
urge_3	医者は彼にもっと休むよう強く勧めた。	urge	doctor / rest more	The doctor urged him to rest more.	SVO_to_do|v:urge|文型:SVO+to_do|前置詞:to
want_1	私は彼女に来てほしい。	want	come	I want her to come.	SVO_to_do|v:want|文型:SVO+to_do|前置詞:to
want_2	彼は誰にも知られたくない。	want	anyone / know	He doesn't want anyone to know.	SVO_to_do|v:want|文型:SVO+to_do|前置詞:to
want_3	彼女は私に正直でいてほしかった。	want	honest	She wanted me to be honest.	SVO_to_do|v:want|文型:SVO+to_do|前置詞:to
describe_1	彼は自分を専門家だと言っている。	describe	expert	He describes himself as an expert.	SVO_as_do|v:describe|文型:SVO+as|前置詞:as
describe_2	彼女はその映画を傑作と評した。	describe	movie / masterpiece	She described the movie as a masterpiece.	SVO_as_do|v:describe|文型:SVO+as|前置詞:as
describe_3	その事件は悲劇と表現された。	describe	incident / tragedy	The incident was described as a tragedy.	SVO_as_do|v:describe|文型:SVO+as|前置詞:as
identify_1	科学者たちはそれを新種だと同定した。	identify	scientists / new species	Scientists identified it as a new species.	SVO_as_do|v:identify|文型:SVO+as|前置詞:as
identify_2	警察は彼を容疑者と特定した。	identify	police / suspect	The police identified him as a suspect.	SVO_as_do|v:identify|文型:SVO+as|前置詞:as
identify_3	その物質は有害だと判定された。	identify	substance / harmful	The substance was identified as harmful.	SVO_as_do|v:identify|文型:SVO+as|前置詞:as
look on_1	私たちは彼女をリーダーだと思っている。	look on	leader	We look on her as a leader.	SVO_as_do|v:look_on|文型:SVO+as|前置詞:as
look on_2	彼らは彼を英雄とみなした。	look on	hero	They looked on him as a hero.	SVO_as_do|v:look_on|文型:SVO+as|前置詞:as
look on_3	その行為は裏切りだとみなされた。	look on	act / betrayal	The act was looked on as a betrayal.	SVO_as_do|v:look_on|文型:SVO+as|前置詞:as
regard_1	私は彼を友人だと思っている。	regard	friend	I regard him as a friend.	SVO_as_do|v:regard|文型:SVO+as|前置詞:as
regard_2	彼女はその経験を貴重なものとみなした。	regard	experience / valuable	She regarded the experience as valuable.	SVO_as_do|v:regard|文型:SVO+as|前置詞:as
regard_3	その発言は侮辱とみなされた。	regard	remark / insult	The remark was regarded as an insult.	SVO_as_do|v:regard|文型:SVO+as|前置詞:as
see_4	私は彼女を姉のように見ている。	see	sister	I see her as a sister.	SVO_as_do|v:see|文型:SVO+as|前置詞:as
see_5	彼らは変化をチャンスと捉えた。	see	change / opportunity	They saw the change as an opportunity.	SVO_as_do|v:see|文型:SVO+as|前置詞:as
see_6	その問題は深刻だと見られている。	see	problem / serious	The problem is seen as serious.	SVO_as_do|v:see|文型:SVO+as|前置詞:as
take_4	私は彼女の沈黙を同意と受け取った。	take	silence / agreement	I took her silence as agreement.	SVO_as_do|v:take|文型:SVO+as|前置詞:as
take_5	彼は私の冗談を本気に受け取った。	take	joke / serious	He took my joke as serious.	SVO_as_do|v:take|文型:SVO+as|前置詞:as
take_6	彼女の笑顔は承認のしるしと受け取られた。	take	smile / sign / approval	Her smile was taken as a sign of approval.	SVO_as_do|v:take|文型:SVO+as|前置詞:as
think of_1	私は彼のことを兄のように思っている。	think of	brother	I think of him as a brother.	SVO_as_do|v:think_of|文型:SVO+as|前置詞:as
think of_2	彼女は自分を芸術家だと思っている。	think of	artist	She thinks of herself as an artist.	SVO_as_do|v:think_of|文型:SVO+as|前置詞:as
think of_3	その計画は成功だとみなされた。	think of	plan / success	The plan was thought of as a success.	SVO_as_do|v:think_of|文型:SVO+as|前置詞:as
view_1	専門家たちはその状況を危険だと見ている。	view	experts / situation / dangerous	Experts view the situation as dangerous.	SVO_as_do|v:view|文型:SVO+as|前置詞:as
view_2	彼女はその変化を好機と見た。	view	change / opportunity	She viewed the change as an opportunity.	SVO_as_do|v:view|文型:SVO+as|前置詞:as
view_3	その決定は間違いだと見られている。	view	decision / mistake	The decision is viewed as a mistake.	SVO_as_do|v:view|文型:SVO+as|前置詞:as
advise_1	医者は彼に十分な睡眠をとるよう助言した。	advise	doctor / get / enough sleep	The doctor advised him to get enough sleep.	tell型/say型|V人to～|v:advise|文型:SVO+to_do
advise_2	弁護士は彼女に何も言わないよう助言した。	advise	lawyer / say nothing	The lawyer advised her to say nothing.	tell型/say型|V人to～|v:advise|文型:SVO+to_do
advise_3	先生は生徒たちにもっと多くの本を読むよう助言した。	advise	teacher / students / read / more books	The teacher advised the students to read more books.	tell型/say型|V人to～|v:advise|文型:SVO+to_do
apologize_1	彼は彼女に遅刻したことを謝った。	apologize	being late	He apologized to her for being late.	tell型/say型|apologize_to人for～|v:apologize|文型:SVO+for|前置詞:to|前置詞:for
apologize_2	彼女は上司に失礼な発言をしたことを謝罪した。	apologize	boss / rude remark	She apologized to her boss for her rude remark.	tell型/say型|apologize_to人for～|v:apologize|文型:SVO+for|前置詞:to|前置詞:for
apologize_3	彼らは市民に迷惑をかけたことを公式に謝罪した。	apologize	citizens / inconvenience / officially	They officially apologized to the citizens for the inconvenience.	tell型/say型|apologize_to人for～|v:apologize|文型:SVO+for|前置詞:to|前置詞:for
convince_1	彼女はなかなか自分の無実を信じてもらえなかった。	convince	innocence	She could not convince them of her innocence.	tell型/say型|V人of～|v:convince|文型:SVO+of|前置詞:of
convince_2	その証拠が陪審員に彼の有罪を確信させた。	convince	evidence / jury / guilt	The evidence convinced the jury of his guilt.	tell型/say型|V人of～|v:convince|文型:SVO+of|前置詞:of
convince_3	彼はようやく上司にその計画の価値を納得させた。	convince	boss / value / plan	He finally convinced his boss of the value of the plan.	tell型/say型|V人of～|v:convince|文型:SVO+of|前置詞:of
convince_4	彼女は私に、その決断が正しいと納得させた。	convince	decision / right	She convinced me that the decision was right.	tell型/say型|V人that～|v:convince|文型:SVO+that
convince_5	科学者たちはついに政府に、対策が必要だと納得させた。	convince	scientists / government / measures / necessary	The scientists finally convinced the government that measures were necessary.	tell型/say型|V人that～|v:convince|文型:SVO+that
convince_6	彼はなかなか家族に、自分が大丈夫だと信じてもらえなかった。	convince	family / fine	He could not convince his family that he was fine.	tell型/say型|V人that～|v:convince|文型:SVO+that
convince_7	彼女はなんとか彼に考えを変えさせた。	convince	change / mind	She managed to convince him to change his mind.	tell型/say型|V人to～|v:convince|文型:SVO+to_do
convince_8	友人が私に医者に行くよう説き伏せた。	convince	friend / see / doctor	My friend convinced me to see a doctor.	tell型/say型|V人to～|v:convince|文型:SVO+to_do
convince_9	彼らはなんとか社長に新しいシステムを導入させた。	convince	president / introduce / new system	They convinced the president to introduce a new system.	tell型/say型|V人to～|v:convince|文型:SVO+to_do
explain_1	彼は私に、なぜ遅れたのかを説明した。	explain	reason / late	He explained to me why he was late.	tell型/say型|Vto人that～|v:explain|文型:SV+to人+that|前置詞:to
explain_2	先生は生徒たちに、その規則が必要な理由を説明した。	explain	teacher / students / rule / necessary	The teacher explained to the students why the rule was necessary.	tell型/say型|Vto人that～|v:explain|文型:SV+to人+that|前置詞:to
explain_3	医者は患者に、手術がどのように行われるかを説明した。	explain	doctor / patient / operation / performed	The doctor explained to the patient how the operation would be performed.	tell型/say型|Vto人that～|v:explain|文型:SV+to人+that|前置詞:to
inform_1	警察は家族に事故のことを知らせた。	inform	police / family / accident	The police informed the family of the accident.	tell型/say型|V人of～|v:inform|文型:SVO+of|前置詞:of
inform_2	会社は従業員に方針の変更を通知した。	inform	company / employees / change / policy	The company informed the employees of the change in policy.	tell型/say型|V人of～|v:inform|文型:SVO+of|前置詞:of
inform_3	彼女はすぐに上司に結果を報告した。	inform	boss / result / immediately	She immediately informed her boss of the result.	tell型/say型|V人of～|v:inform|文型:SVO+of|前置詞:of
inform_4	病院は彼女に、手術が成功したと知らせた。	inform	hospital / operation / successful	The hospital informed her that the operation was successful.	tell型/say型|V人that～|v:inform|文型:SVO+that
inform_5	係員は乗客に、フライトが遅延していると知らせた。	inform	staff / passengers / flight / delayed	The staff informed the passengers that the flight was delayed.	tell型/say型|V人that～|v:inform|文型:SVO+that
inform_6	大学は学生たちに、授業がオンラインになると通知した。	inform	university / students / classes / online	The university informed the students that the classes would be held online.	tell型/say型|V人that～|v:inform|文型:SVO+that
persuade_1	彼はようやく委員会にその方針の必要性を納得させた。	persuade	committee / necessity / policy	He finally persuaded the committee of the necessity of the policy.	tell型/say型|V人of～|v:persuade|文型:SVO+of|前置詞:of
persuade_2	弁護士はなんとか陪審員に依頼人の無実を信じさせた。	persuade	lawyer / jury / client's innocence	The lawyer managed to persuade the jury of his client's innocence.	tell型/say型|V人of～|v:persuade|文型:SVO+of|前置詞:of
persuade_3	彼女は親にその計画の安全性を納得させることができなかった。	persuade	parents / safety / plan	She could not persuade her parents of the safety of the plan.	tell型/say型|V人of～|v:persuade|文型:SVO+of|前置詞:of
persuade_4	彼は彼女に、その仕事が自分に向いていると納得させた。	persuade	job / suited	He persuaded her that the job was suited to him.	tell型/say型|V人that～|v:persuade|文型:SVO+that
persuade_5	医者はようやく患者に、手術が必要だと納得させた。	persuade	doctor / patient / operation / necessary	The doctor finally persuaded the patient that the operation was necessary.	tell型/say型|V人that～|v:persuade|文型:SVO+that
persuade_6	彼らは政府に、その政策が有効だと納得させることができなかった。	persuade	government / policy / effective	They could not persuade the government that the policy was effective.	tell型/say型|V人that～|v:persuade|文型:SVO+that
persuade_7	彼女はなんとか父を説得して、留学を許してもらった。	persuade	father / study abroad	She managed to persuade her father to let her study abroad.	tell型/say型|V人to～|v:persuade|文型:SVO+to_do
persuade_8	彼は友人を説得して、その考えを諦めさせた。	persuade	friend / give up / idea	He persuaded his friend to give up the idea.	tell型/say型|V人to～|v:persuade|文型:SVO+to_do
persuade_9	医者はなんとか患者を説得して、禁煙させた。	persuade	doctor / patient / quit / smoking	The doctor managed to persuade the patient to quit smoking.	tell型/say型|V人to～|v:persuade|文型:SVO+to_do
remind_1	この写真を見ると子どもの頃を思い出す。	remind	photo / childhood	This photo reminds me of my childhood.	tell型/say型|V人of～|v:remind|文型:SVO+of|前置詞:of
remind_2	彼女の笑顔は私に亡き母を思い出させた。	remind	smile / late mother	Her smile reminded me of my late mother.	tell型/say型|V人of～|v:remind|文型:SVO+of|前置詞:of
remind_3	その匂いは私に故郷を思い出させる。	remind	smell / hometown	The smell reminds me of my hometown.	tell型/say型|V人of～|v:remind|文型:SVO+of|前置詞:of
remind_4	彼女は私に、会議が3時からだと念を押した。	remind	meeting / three o'clock	She reminded me that the meeting started at three o'clock.	tell型/say型|V人that～|v:remind|文型:SVO+that
remind_5	この事件は私たちに、安全がいかに大切かを改めて教えてくれた。	remind	incident / safety / important	This incident reminded us that safety is very important.	tell型/say型|V人that～|v:remind|文型:SVO+that
remind_6	彼は私に、締め切りが明日だということを思い出させてくれた。	remind	deadline / tomorrow	He reminded me that the deadline was tomorrow.	tell型/say型|V人that～|v:remind|文型:SVO+that
remind_7	薬を飲み忘れないよう念を押してください。	remind	medicine	Please remind me to take my medicine.	tell型/say型|V人to～|v:remind|文型:SVO+to_do
remind_8	彼女は彼にドアに鍵をかけるよう念を押した。	remind	lock / door	She reminded him to lock the door.	tell型/say型|V人to～|v:remind|文型:SVO+to_do
remind_9	先生は生徒たちに宿題を提出するよう念を押した。	remind	teacher / students / submit / homework	The teacher reminded the students to submit their homework.	tell型/say型|V人to～|v:remind|文型:SVO+to_do
say_1	彼は彼女に、もうすぐ戻ると言った。	say	back / soon	He said to her that he would be back soon.	tell型/say型|Vto人that～|v:say|文型:SV+to人+that|前置詞:to
say_2	先生は生徒たちに、努力が大切だと言った。	say	teacher / students / effort / important	The teacher said to the students that effort was important.	tell型/say型|Vto人that～|v:say|文型:SV+to人+that|前置詞:to
say_3	彼女は私に、その知らせを聞いてとても驚いたと言った。	say	surprised / news	She said to me that she was very surprised to hear the news.	tell型/say型|Vto人that～|v:say|文型:SV+to人+that|前置詞:to
suggest_1	彼はもう一度やり直してみてはどうかと提案した。	suggest	try again	He suggested that I try again.	tell型/say型|Vto人that～|v:suggest|文型:SV+to人+that|前置詞:to
suggest_2	医者は彼女がもっと休息をとるべきだと提案した。	suggest	doctor / rest / more	The doctor suggested that she should get more rest.	tell型/say型|Vto人that～|v:suggest|文型:SV+to人+that|前置詞:to
suggest_3	上司は私にその計画を見直してはどうかと提案した。	suggest	boss / reconsider / plan	My boss suggested that I reconsider the plan.	tell型/say型|Vto人that～|v:suggest|文型:SV+to人+that|前置詞:to
tell_1	彼女は手術のリスクについて知らされなかった。	tell	risks / operation	She was not told of the risks of the operation.	tell型/say型|V人of～|v:tell|文型:SVO+of|前置詞:of
tell_2	誰も私たちにスケジュールの変更を知らせなかった。	tell	change / schedule	Nobody told us of the change in the schedule.	tell型/say型|V人of～|v:tell|文型:SVO+of|前置詞:of
tell_3	彼はその決定について事前に知らされていた。	tell	decision / advance	He had been told of the decision in advance.	tell型/say型|V人of～|v:tell|文型:SVO+of|前置詞:of
tell_4	医者は彼に、すぐに手術が必要だと告げた。	tell	doctor / operation / immediately	The doctor told him that he needed an operation immediately.	tell型/say型|V人that～|v:tell|文型:SVO+that
tell_5	彼女は私に、その話は本当ではないと言った。	tell	story / true	She told me that the story was not true.	tell型/say型|V人that～|v:tell|文型:SVO+that
tell_6	先生は生徒たちに、試験は延期されると伝えた。	tell	teacher / exam / postponed	The teacher told the students that the exam would be postponed.	tell型/say型|V人that～|v:tell|文型:SVO+that
tell_7	医者は彼にタバコをやめるよう言った。	tell	doctor / stop / smoking	The doctor told him to stop smoking.	tell型/say型|V人to～|v:tell|文型:SVO+to_do
tell_8	母は私に早く帰ってくるよう言った。	tell	mother / come home / early	My mother told me to come home early.	tell型/say型|V人to～|v:tell|文型:SVO+to_do
tell_9	警察は群衆にその場を離れるよう命じた。	tell	police / crowd / leave	The police told the crowd to leave the area.	tell型/say型|V人to～|v:tell|文型:SVO+to_do
warn_1	政府は国民に台風の危険を警告した。	warn	government / people / danger / typhoon	The government warned the people of the danger of the typhoon.	tell型/say型|V人of～|v:warn|文型:SVO+of|前置詞:of
warn_2	先生は生徒たちにカンニングの結果を警告した。	warn	teacher / students / consequences / cheating	The teacher warned the students of the consequences of cheating.	tell型/say型|V人of～|v:warn|文型:SVO+of|前置詞:of
warn_3	彼女はあらかじめリスクについて警告されていた。	warn	risks / beforehand	She had been warned of the risks beforehand.	tell型/say型|V人of～|v:warn|文型:SVO+of|前置詞:of
warn_4	警察は市民に、その地域が危険だと警告した。	warn	police / citizens / area / dangerous	The police warned citizens that the area was dangerous.	tell型/say型|V人that～|v:warn|文型:SVO+that
warn_5	天気予報は、嵐が近づいていると警告した。	warn	weather forecast / storm / approaching	The weather forecast warned that a storm was approaching.	tell型/say型|V人that～|v:warn|文型:SVO+that
warn_6	医者は彼女に、このまま働き続ければ体を壊すと警告した。	warn	doctor / health / break down / keep working	The doctor warned her that her health would break down if she kept working.	tell型/say型|V人that～|v:warn|文型:SVO+that
warn_7	警察は市民にその地域を避けるよう警告した。	warn	police / citizens / avoid / area	The police warned citizens to avoid the area.	tell型/say型|V人to～|v:warn|文型:SVO+to_do
warn_8	医者は彼に無理をしないよう警告した。	warn	doctor / overwork	The doctor warned him not to overwork.	tell型/say型|V人to～|v:warn|文型:SVO+to_do
warn_9	父は私に見知らぬ人についていかないよう警告した。	warn	father / strangers	My father warned me not to follow strangers.	tell型/say型|V人to～|v:warn|文型:SVO+to_do
clear_1	彼は机の上を片付けた。	clear	desk / papers	He cleared his desk of the papers.	rob型/provide型|V人of物|v:clear|文型:SVO+of|前置詞:of
clear_2	彼女は排水溝の雪を取り除いた。	clear	drain / snow	She cleared the drain of snow.	rob型/provide型|V人of物|v:clear|文型:SVO+of|前置詞:of
clear_3	警察は道路から障害物を取り除いた。	clear	police / road / obstacles	The police cleared the road of obstacles.	rob型/provide型|V人of物|v:clear|文型:SVO+of|前置詞:of
confront_1	記者は大臣に矛盾した発言を突きつけた。	confront	reporter / minister / contradictory statements	The reporter confronted the minister with his contradictory statements.	rob型/provide型|face/confrontAwithB|v:confront|文型:SVO+with|前置詞:with
confront_2	彼女は夫に不誠実な行動の証拠を突きつけた。	confront	husband / evidence / dishonest behavior	She confronted her husband with evidence of his dishonest behavior.	rob型/provide型|face/confrontAwithB|v:confront|文型:SVO+with|前置詞:with
confront_3	上司は彼に業績不振のデータを突きつけた。	confront	boss / data / poor performance	The boss confronted him with data showing his poor performance.	rob型/provide型|face/confrontAwithB|v:confront|文型:SVO+with|前置詞:with
cure_1	その薬は彼の病気を治した。	cure	medicine / disease	The medicine cured him of his disease.	rob型/provide型|V人of物|v:cure|文型:SVO+of|前置詞:of
cure_2	旅行が彼女の退屈を紛らわせた。	cure	trip / boredom	The trip cured her of her boredom.	rob型/provide型|V人of物|v:cure|文型:SVO+of|前置詞:of
cure_3	その経験は彼の怠け癖を直した。	cure	experience / lazy habit	The experience cured him of his lazy habit.	rob型/provide型|V人of物|v:cure|文型:SVO+of|前置詞:of
deprive_1	戦争は多くの子どもたちから教育の機会を奪った。	deprive	war / children / education	The war deprived many children of their education.	rob型/provide型|V人of物|v:deprive|文型:SVO+of|前置詞:of
deprive_2	睡眠不足は人から判断力を奪う。	deprive	lack of sleep / judgment	Lack of sleep deprives people of their judgment.	rob型/provide型|V人of物|v:deprive|文型:SVO+of|前置詞:of
deprive_3	その規制は市民から基本的権利を奪うものだと批判された。	deprive	regulation / citizens / basic rights	The regulation was criticized for depriving citizens of their basic rights.	rob型/provide型|V人of物|v:deprive|文型:SVO+of|前置詞:of
endow_1	彼女は生まれつき音楽の才能に恵まれている。	endow	musical talent	She is endowed with musical talent.	rob型/provide型|V人with物|v:endow|文型:SVO+with|前置詞:with
endow_2	その地域は豊かな天然資源に恵まれている。	endow	region / rich natural resources	The region is endowed with rich natural resources.	rob型/provide型|V人with物|v:endow|文型:SVO+with|前置詞:with
endow_3	彼は生まれながらにリーダーシップの資質を持っている。	endow	leadership qualities	He is endowed with leadership qualities.	rob型/provide型|V人with物|v:endow|文型:SVO+with|前置詞:with
equip_1	その学校はすべての教室にコンピューターを備え付けた。	equip	school / classrooms / computers	The school equipped all classrooms with computers.	rob型/provide型|V人with物|v:equip|文型:SVO+with|前置詞:with
equip_2	登山家たちは最新の道具を持って山に挑んだ。	equip	climbers / latest tools	The climbers were equipped with the latest tools.	rob型/provide型|V人with物|v:equip|文型:SVO+with|前置詞:with
equip_3	その訓練は兵士たちに実戦に必要なスキルを身につけさせた。	equip	training / soldiers / skills / combat	The training equipped the soldiers with the skills needed for combat.	rob型/provide型|V人with物|v:equip|文型:SVO+with|前置詞:with
face_1	警察は容疑者に証拠を突きつけた。	face	police / suspect / evidence	The police faced the suspect with the evidence.	rob型/provide型|face/confrontAwithB|v:face|文型:SVO+with|前置詞:with
face_2	彼女は彼に冷酷な事実を突きつけた。	face	harsh facts	She faced him with the harsh facts.	rob型/provide型|face/confrontAwithB|v:face|文型:SVO+with|前置詞:with
face_3	裁判官は被告に目撃者の証言を突きつけた。	face	judge / defendant / witness testimony	The judge faced the defendant with the witness testimony.	rob型/provide型|face/confrontAwithB|v:face|文型:SVO+with|前置詞:with
feed_1	その川は村に清潔な水を供給している。	feed	river / village / clean water	The river feeds the village with clean water.	rob型/provide型|V人with物|v:feed|文型:SVO+with|前置詞:with
feed_2	その発電所は何千もの家庭に電力を供給している。	feed	power plant / thousands of homes / electricity	The power plant feeds thousands of homes with electricity.	rob型/provide型|V人with物|v:feed|文型:SVO+with|前置詞:with
feed_3	そのパイプラインは都市にガスを供給している。	feed	pipeline / city / gas	The pipeline feeds the city with gas.	rob型/provide型|V人with物|v:feed|文型:SVO+with|前置詞:with
fill_1	彼女はコップを水で満たした。	fill	glass / water	She filled the glass with water.	rob型/provide型|fillAwithB|v:fill|文型:SVO+with|前置詞:with
fill_2	その知らせは彼を希望で満たした。	fill	news / hope	The news filled him with hope.	rob型/provide型|fillAwithB|v:fill|文型:SVO+with|前置詞:with
fill_3	その部屋は笑い声で満ちていた。	fill	room / laughter	The room was filled with laughter.	rob型/provide型|fillAwithB|v:fill|文型:SVO+with|前置詞:with
furnish_1	その会社は新入社員にラップトップを支給した。	furnish	company / new employees / laptops	The company furnished new employees with laptops.	rob型/provide型|V人with物|v:furnish|文型:SVO+with|前置詞:with
furnish_2	家主はアパートに家具を備え付けた。	furnish	landlord / apartment / furniture	The landlord furnished the apartment with furniture.	rob型/provide型|V人with物|v:furnish|文型:SVO+with|前置詞:with
furnish_3	彼女は弁護士に必要な書類を提供した。	furnish	lawyer / necessary documents	She furnished the lawyer with the necessary documents.	rob型/provide型|V人with物|v:furnish|文型:SVO+with|前置詞:with
present_1	委員会は優勝者に賞を授与した。	present	committee / winner / prize	The committee presented the winner with a prize.	rob型/provide型|V人with物|v:present|文型:SVO+with|前置詞:with
present_2	彼は彼女に花束を贈った。	present	bouquet of flowers	He presented her with a bouquet of flowers.	rob型/provide型|V人with物|v:present|文型:SVO+with|前置詞:with
present_3	市長は消防士たちに勇気の証明書を授与した。	present	mayor / firefighters / certificate of bravery	The mayor presented the firefighters with a certificate of bravery.	rob型/provide型|V人with物|v:present|文型:SVO+with|前置詞:with
provide_1	政府は被災者に食料を提供した。	provide	government / victims / food	The government provided the victims with food.	rob型/provide型|V人with物|v:provide|文型:SVO+with|前置詞:with
provide_2	その奨学金は彼女に留学の機会を与えた。	provide	scholarship / opportunity / study abroad	The scholarship provided her with an opportunity to study abroad.	rob型/provide型|V人with物|v:provide|文型:SVO+with|前置詞:with
provide_3	その会社は従業員に最新の設備を提供した。	provide	company / employees / latest equipment	The company provided its employees with the latest equipment.	rob型/provide型|V人with物|v:provide|文型:SVO+with|前置詞:with
relieve_1	その薬は彼の痛みを和らげた。	relieve	medicine / pain	The medicine relieved him of his pain.	rob型/provide型|V人of物|v:relieve|文型:SVO+of|前置詞:of
relieve_2	彼女は彼の不安を和らげようとした。	relieve	anxiety	She tried to relieve him of his anxiety.	rob型/provide型|V人of物|v:relieve|文型:SVO+of|前置詞:of
relieve_3	彼は重大な責任から解放された。	relieve	heavy responsibility	He was relieved of his heavy responsibility.	rob型/provide型|V人of物|v:relieve|文型:SVO+of|前置詞:of
rid_1	私はその古い習慣を取り除きたい。	rid	old habit	I want to rid myself of that old habit.	rob型/provide型|V人of物|v:rid|文型:SVO+of|前置詞:of
rid_2	彼女はようやく借金を返済した。	rid	debt	She finally rid herself of her debt.	rob型/provide型|V人of物|v:rid|文型:SVO+of|前置詞:of
rid_3	その都市はネズミの問題を解決しようとしている。	rid	city / rat problem	The city is trying to rid itself of its rat problem.	rob型/provide型|V人of物|v:rid|文型:SVO+of|前置詞:of
rob_1	彼は路上で財布を奪われた。	rob	wallet / street	He was robbed of his wallet on the street.	rob型/provide型|V人of物|v:rob|文型:SVO+of|前置詞:of
rob_2	その事故は彼から視力を奪った。	rob	accident / sight	The accident robbed him of his sight.	rob型/provide型|V人of物|v:rob|文型:SVO+of|前置詞:of
rob_3	長い入院生活が彼女から自信を奪った。	rob	long hospital stay / confidence	The long hospital stay robbed her of her confidence.	rob型/provide型|V人of物|v:rob|文型:SVO+of|前置詞:of
supply_1	その工場は近隣の家庭に電力を供給している。	supply	factory / nearby homes / electricity	The factory supplies nearby homes with electricity.	rob型/provide型|V人with物|v:supply|文型:SVO+with|前置詞:with
supply_2	政府は学校に教科書を供給した。	supply	government / schools / textbooks	The government supplied the schools with textbooks.	rob型/provide型|V人with物|v:supply|文型:SVO+with|前置詞:with
supply_3	その農場は市場に新鮮な野菜を供給している。	supply	farm / market / fresh vegetables	The farm supplies the market with fresh vegetables.	rob型/provide型|V人with物|v:supply|文型:SVO+with|前置詞:with
admire_1	みんなが彼の勇気を称えた。	admire	courage	Everyone admired him for his courage.	thank型/persuade型/prevent型|V人for～|v:admire|文型:SVO+for|前置詞:for
admire_2	彼女は忍耐力を称えられた。	admire	patience	She was admired for her patience.	thank型/persuade型/prevent型|V人for～|v:admire|文型:SVO+for|前置詞:for
admire_3	世界中の人々が彼女の業績を賞賛した。	admire	people around the world / achievements	People around the world admired her for her achievements.	thank型/persuade型/prevent型|V人for～|v:admire|文型:SVO+for|前置詞:for
ban_1	その国は企業が特定の化学物質を使用することを禁止した。	ban	country / companies / using / certain chemicals	The country banned companies from using certain chemicals.	thank型/persuade型/prevent型|V人from-ing|v:ban|文型:SVO+from_-ing|前置詞:from
ban_2	その施設は来館者が館内で喫煙することを禁止している。	ban	facility / visitors / smoking / premises	The facility bans visitors from smoking on its premises.	thank型/persuade型/prevent型|V人from-ing|v:ban|文型:SVO+from_-ing|前置詞:from
ban_3	選手はドーピング違反で試合への出場を禁じられた。	ban	athlete / competing / doping violation	The athlete was banned from competing for a doping violation.	thank型/persuade型/prevent型|V人from-ing|v:ban|文型:SVO+from_-ing|前置詞:from
blame_1	彼らは事故の責任を運転手のせいにした。	blame	driver / accident	They blamed the driver for the accident.	thank型/persuade型/prevent型|V人for～|v:blame|文型:SVO+for|前置詞:for
blame_2	彼女は失敗を自分のせいだと思っていた。	blame	failure	She blamed herself for the failure.	thank型/persuade型/prevent型|V人for～|v:blame|文型:SVO+for|前置詞:for
blame_3	彼らはプロジェクトの失敗をマネージャーのせいにした。	blame	manager / project's failure	They blamed the manager for the project's failure.	thank型/persuade型/prevent型|V人for～|v:blame|文型:SVO+for|前置詞:for
criticize_1	批評家たちはその政策の曖昧さを批判した。	criticize	critics / policy / vagueness	The critics criticized the policy for its vagueness.	thank型/persuade型/prevent型|criticize人for～|v:criticize|文型:SVO+for|前置詞:for
criticize_2	彼は約束を守らなかったことで批判された。	criticize	breaking / promise	He was criticized for breaking his promise.	thank型/persuade型/prevent型|criticize人for～|v:criticize|文型:SVO+for|前置詞:for
criticize_3	メディアは政府の対応の遅さを批判した。	criticize	media / government / slow response	The media criticized the government for its slow response.	thank型/persuade型/prevent型|criticize人for～|v:criticize|文型:SVO+for|前置詞:for
discourage_1	高い税金は企業の投資意欲を削いでいる。	discourage	high taxes / companies / investing	High taxes discourage companies from investing.	thank型/persuade型/prevent型|V人from-ing|v:discourage|文型:SVO+from_-ing|前置詞:from
discourage_2	その失敗は彼女が再挑戦する意欲を失わせた。	discourage	failure / trying again	The failure discouraged her from trying again.	thank型/persuade型/prevent型|V人from-ing|v:discourage|文型:SVO+from_-ing|前置詞:from
discourage_3	親は子どもが危険なスポーツをしないよう諭した。	discourage	parents / child / dangerous sports	The parents discouraged their child from playing dangerous sports.	thank型/persuade型/prevent型|V人from-ing|v:discourage|文型:SVO+from_-ing|前置詞:from
fine_1	彼は駐車違反で罰金を科された。	fine	illegal parking	He was fined for illegal parking.	thank型/persuade型/prevent型|V人for～|v:fine|文型:SVO+for|前置詞:for
fine_2	その会社は環境規制に違反したとして罰金を科された。	fine	company / violating environmental regulations	The company was fined for violating environmental regulations.	thank型/persuade型/prevent型|V人for～|v:fine|文型:SVO+for|前置詞:for
fine_3	彼女はスピード違反で5万円の罰金を科された。	fine	speeding / 50,000 yen	She was fined 50,000 yen for speeding.	thank型/persuade型/prevent型|V人for～|v:fine|文型:SVO+for|前置詞:for
grateful_1	私は助けてくれたことに対して彼女にとても感謝している。	be grateful	help	I am very grateful to her for her help.	thank型/persuade型/prevent型|be_grateful_to人for～|v:be_grateful|文型:SVO+for|前置詞:to|前置詞:for
grateful_2	彼はアドバイスをくれた先生にとても感謝していた。	be grateful	teacher / advice	He was very grateful to his teacher for the advice.	thank型/persuade型/prevent型|be_grateful_to人for～|v:be_grateful|文型:SVO+for|前置詞:to|前置詞:for
